,name,alias,Set,tall,boss,element,hp,damage,hpelement,bosstext,reward,extra
1,Armored Cannon Beetle,armoredcannonbeetle,1,,x,crush,25,10,,This migrant lithopod has developed a stronger carapace than its relatives.\n- Olimar's Notes,@[P]@[P]@[P]@[G]@[G]@[G],
1,Baldy Long Legs,baldylonglegs,1,,x,crush,20,5,,Not as tasty as it looks. Completely inedible.\n- Louie's Notes,@[P]@[P]@[P]@[G]@[G],
1,Beady Long Legs,beadylonglegs,1,,x,crush,20,5,,Poisonous. Consumption results in prolonged writhing and uncontrollable mirth.\n- Louie's Notes,@[P]@[P]@[P]@[G]@[G],
1,Bloomcap Bloyster,bloomcapbloyster,1,,x,,15,9,,The fatty muscle that controls those undulating motions must be eaten fresh. All that quick movement means the meat toughens quickly.\n- Louie's Notes,@[P]@[P]@[G]@[G],
1,Bug-Eyed Crawmad,bug-eyedcrawmad,1,,x,,20,10,,"When grilled, serves as an excellent filling for an offbeat po'boy. If you have any left over, add it to a liver paste to deepen the flavor.\n- Louie's Notes",@[P]@[P]@[P]@[P]@[G],
1,Burrowing Snagret,burrowingsnagret,1,,x,swift,20,3,,"Slice the serpentine torso into thin medallions, skewer on a metal rod with Hocotate onions, and barbecue over an open flame.\n- Louie's Notes",@[P]@[P]@[G]@[G]@[G],
1,Empress Bulblax,empressbulblax,1,,x,crush,35,20,,"For a sophisticated delicacy, make a pâté de foie gras from this massively obese creature's liver and spread it over a sesame cracker.\n- Louie's Notes",@[G]@[G]@[G]@[G]@[G]@[G],
1,Goolix,goolix,1,,x,water,30,15,water,A watery gelatinous membrane protects this creature's nervous system.\n- Olimar's Notes,@[P]@[P]@[P]@[P],
1,Jumbo Bulborb,jumbobulborb,1,,x,,20,15,,"It's a large creature, but the meat is tender and flavorful. It's impossible to eat in one sitting, so store some portions for later. Coat the fattier meat in cooking oil and freeze. Leaner cuts should be smoked.\n- Louie's Notes",@[P]@[P]@[P]@[G]@[G],
1,Man-at-Legs,man-at-legs,1,,x,explosive,25,10,,"Although the meat is a bit on the metallic side, the oil makes a mouthwatering gravy or lubricative vinaigrette.\n- Louie's Notes",@[G]@[G]@[G]@[G]@[G],
1,Masterhop,masterhop,1,,x,crush,20,15,,Meat can be consumed if first dehydrated with a lot of salt. But the eyeballs and the legs are the best parts.\n- Louie's Notes,@[P]@[P]@[G]@[G]@[G],
1,Pileated Snagret,pileatedsnagret,1,,x,,30,15,,"You haven't lived until you've tasted a mint-braised snagret shank! Or if you're feeling especially saucy, stuff a bird with a can of your favorite savory nectar, throw it on the barbeque, and let the juices mingle to make a mean beverage-canister snagret!\n- Louie's Notes",@[G]@[G]@[G]@[G]@[G],
1,Smoky Progg,smokyprogg,1,,x,poison,25,20,poison,Egg tastes best when smoked. The flavor of the belly and the head is pleasantly warming.\n- Louie's Notes,@[P]@[P]@[P]@[P]@[P]@[G]@[G]@[G],
1,Titan Blowhog,titanblowhog,1,,x,Fire,20,15,,Creature too large to easily carve. Bigger is not better in this case.\n- Louie's Notes,@[P]@[P]@[G]@[G]@[G],
1,Waterwraith,waterwraith,1,,x,crush,30,25,,"Inedible. Known to cause mass hysteria, followed by leg spasms and internal thunderings.\n- Louie's Notes",@[G]@[G]@[G]@[G]@[G]@[G],Must be attacked by at least 1 purple
3,Albino Dwarf Bulborb,albinodwarfbulborb,1,,,,3,1,,,@[P],
3,Female Sheargrub,femalesheargrub,1,,,,1,0,,,,
3,Male Sheargrub,malesheargrub,1,,,swift,1,1,,,@[P],
3,Phosbat,phosbat,1,,,,3,2,,,,
3,Shearflea,shearflea,1,,,swift,1,1,,,@[G],
3,Wolpole,wolpole,1,,,,3,0,water,,,
2,Anode Dweevil,anodedweevil,1,,,electric,4,4,,,@[G],Creates an Electricity Generator when it dies
2,Breadbug,breadbug,1,,,,8,0,,,@[G]@[G],
2,Bulbmin,bulbmin,1,,,,5,3,,,@[G]@[G],Get 5 Bulbmin tokens when it dies
2,Bulborb Larva,bulborblarva,1,,,swift,1,1,,,@[G],
2,Downy Snagret,downysnagret,1,,,swift,4,2,,,@[P],
2,Dwarf Bulbear,dwarfbulbear,1,,,,3,2,,,@[P],
2,Dwarf Bulborb,dwarfbulborb,1,,,,3,1,,,@[P],
2,Dwarf Frosty Bulborb,dwarffrostybulborb,1,,,,3,1,,,@[P],
2,Dwarf Orange Bulborb,dwarforangebulborb,1,,,,3,1,,,@[P],
2,Fiery Blowhog,fieryblowhog,1,,,Fire,7,5,,,@[P]@[P],
2,Fiery Bulblax,fierybulblax,1,,,,12,9,fire,,@[P]@[P]@[P],
2,Fiery Dweevil,fierydweevil,1,,,Fire,4,4,,,@[G],Creates a Fire Geyser when it dies
2,Honeywisp,honeywisp,1,,,,3,0,height,,@[G]@[G],
2,Hydro Dweevil,hydrodweevil,1,,,water,4,4,,,@[G],Creates a Water Spout when it dies
2,Lesser Spotted Jellyfloat,lesserspottedjellyfloat,1,,,water,8,4,,,@[G]@[G]@[G],
2,Red Spectralid,redspectralids,1,,,,1,0,height,,,
2,Shearwig,shearwig,1,,,swift,1,1,,,@[P],
2,Skitter Leaf,skitterleaf,1,,,,3,0,,,,
2,Spotty Bulbear,spottybulbear,1,,,,12,9,,,@[P]@[P]@[P]@[G],
2,White Spectralid,whitespectralid,1,,,,1,0,height,,,
2,Yellow Spectralid,yellowspectralid,1,,,,1,0,height,,,
1,Bulborb,bulborb,1,,,,9,7,,,@[P]@[P]@[P],
1,Creeping Chrysanthemum,creepingchrysanthemumclassic,1,,,,15,10,,,@[P]@[P]@[P]@[G]@[G],
1,Creeping Chrysanthemum,creepingchrysanthemumuglyfucker,1,,,,15,10,,,@[P]@[P]@[P]@[G]@[G],
1,Desiccated Skitter Leaf,desiccatedskitterleaf,1,,,swift,5,3,,,@[P]@[P],
1,Gatling Groink,gatlinggroink,1,,,explosive,12,7,,,@[G]@[G]@[G]@[G],
1,Grubchucker,grubchucker,1,x,,,12,8,height,,@[P]@[P]@[G]@[G]@[G],
1,Hairy Bulborb,hairybulborb,1,,,,9,7,,,@[P]@[P]@[P],
